symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"Uncle Folk","DrQntuEcTFuQuKtJ7RGJSHiHA3ppBq8k2CiJM8gMpump","","","","","","","","","","","","","","","","","","","","","0.000003105","","","","","","2026-07-04T17:12:15.584Z",""
"WIFBULL","2hMxfV1XZKhrY9c9VYZR3BKATXAqRborjfGpCEmppump","","","","","","","","","","","","","","","","","","","","","0.000002311","","","","","","2026-07-04T17:12:40.055Z",""
"WIFBULL","8nSC4hqaBUWUUBTSizuSQqyxwJ394ohepqSP2d1cpump","84","6.913","","","","","","","","","","","","","0.000003848","","","","0.000002316","","","2026-07-04T17:12:40.507Z","","","","2026-07-04T17:13:15.019Z","",""
"SMIRK","FMB6v5SrrhdDSsVHBPXWgwrSKPMjYEpGug8womPRpump","73","3.5","","","","","","","","","","","","","0.00001988","","","","","","","2026-07-04T17:12:51.575Z","","","","","",""
"TOE","FrRNMki1B5YT4rFaqujSWcJdzfW9T1ErwKruTCeEA1EB","71","3","","","","","","","","","","","","","0.000002296","","","","","","","2026-07-04T17:13:21.559Z","","","","","",""
"CHOCHLA","9hk2kvr2Rw18hPTcjKPEQLbjW58ahRLDX1ihcKsjpump","71","3","","","","","","","","","","","","","0.000002296","","","","0.000002296","","","2026-07-04T17:13:33.612Z","","","","2026-07-04T17:13:56.777Z","",""
"CHOCHLA","BLPeAwLpEkLwLvA4ymkaT5JumPqQmS7UrqgPUJyvpump","79","5","","","","","","","","","","","","","0.000002403","","","","","","","2026-07-04T17:13:46.456Z","","","","","",""
"shortlet","HdsqDbV9LvtuEZFKNV3rgR52FHpNpHhbafZ9sPZApump","79","5.000000001","","","","","","","","","","","","","0.000004394","0.000006581","","","","","","2026-07-04T17:13:58.001Z","2026-07-04T17:14:56.762Z","","","","",""
"Niki","9wSrx37FtMeWBiBVRGqgowT9HNMvWSEmcYgFK11ipump","68","2.4691358","","","","","","","","","","","","","0.000002297","","","","0.000002293","","","2026-07-04T17:13:58.451Z","","","","2026-07-04T17:14:33.062Z","",""
"Niki","9mXcoSXmneCiedDgLoGGkveH7rNbKZzMo5baZccLpump","71","3","","","","","","","","","","","","","0.000002316","","","","","","","2026-07-04T17:14:09.732Z","","","","","",""
"Niki","H6mAeaUF9qTTUbt4euAnDXgAAYd2biFfUW1Mgpb1pump","71","3","","","","","","","","","","","","","0.000002479","","","","","","","2026-07-04T17:14:33.639Z","","","","","",""
"Niki","9iL31JcVmBUZPG4JxFvQfGwSZgdNzfz245PjPoVRpump","71","2.962962961","","","","","","","","","","","","","0.000002366","","","","","","","2026-07-04T17:15:03.667Z","","","","","",""
"WIFBULL","2t2RdF6DbfT9SUXEF2gPMcyWv2huej3VMHpAXMwTpump","88","12.839506171","","","","","","","","","","","","","0.000003343","","","","0.000002313","","0.000002313","2026-07-04T17:15:09.620Z","","","","2026-07-04T17:15:50.987Z","2026-07-04T17:15:50.987Z",""
