symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,tracked_s,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"Blue","2aBQ1ffRaMXAn3L44mo4dFmV7pnR7LsSbExrXbwppump","","","","","","","","","","","","","","","","","","","","","","","","","2.27e-7","","","","","","2026-07-09T08:37:25.844Z",""
"Sol","FQxWYpriZ77r2PW8CBuBo79Qheiqkg6tboFUSjbcpump","55","0.060000001","","","","","","","","","","","","","","","","","0.000001984","","","","","","","2026-07-09T08:38:22.830Z","","","","","",""
"at","9du8qYL94tc1SQaX7BaYhPDa2XsvhLzfnzQQxPyzpump","","","","","","","","","","","","","","","","","","","","","","","","","0.000001095","","","","","","2026-07-09T08:38:23.833Z",""
"catfished","FJTpAZqMtQFiMJ9t5pmxRboWC66tGRxyrKA4sDgPpump","","","","","","","","","","","","","","","","","","","","","","","","","0.000001105","","","","","","2026-07-09T08:38:24.841Z",""
"AURA","HHWUGqGW6pr8cCmp9YYVt97VWo1x5BfPtTqE9CCtpump","58","1.97530864","","","","","","","","","","","","","","","","","0.000002576","","","","","","","2026-07-09T08:38:26.035Z","","","","","",""
"grah","92iBPiMFd53vNENZjRZJKuTK6KFwnt35VbS8GfnEpump","","","","","","","","","","","","","","","","","","","","","","","","","5.729e-7","","","","","","2026-07-09T08:39:22.072Z",""
"Ghost","2xSYxLfL51PQzVVcWuH3Pkx2G8RsqYFswy1YuVgapump","","","","","","","","","","","","","","","","","","","","","","","","","4.833e-7","","","","","","2026-07-09T08:39:22.895Z",""
"at","HLNY23BTNNmUEzE1Ri6qAwuWfi5epMVsFwCpxoQapump","","","","","","","","","","","","","","","","","","","","","","","","","2.023e-7","","","","","","2026-07-09T08:40:23.817Z",""
"Ghost","FcMDi26aSaBDHWYB7u3yySEVGBji4Zpnh842mGTpump","","","","","","","","","","","","","","","","","","","","","","","","","4.288e-7","","","","","","2026-07-09T08:40:24.888Z",""
"AURA","EdfVzGUc8UvACoWJjK4eesojRCNCxs4gqign4BqPqZHr","56","3.555555554","","","","","","","","","","","","","","","","","0.000002188","","","","","","","2026-07-09T08:41:22.885Z","","","","","",""
