symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"孫悟空","C7NPe9jd2hQUR2w3aeVRjb83foNxDZbyufEnZrUJpump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002294","","","","","","","2026-07-11T14:24:52.902Z","","","","","",""
"1000","5M5fNp3dFq7ByyAZmZFHCzKRzmb8rjKaqJgmejS8pump","61","0.039506171","","","","","","","0","0","-0.2","902","0.039506171","0","1","1","0","2196.95","3","3.26","3.26","1","1","0.01","","0","0","1","0","","","","","","","0.000002196","0.000002196","","","","","","2026-07-11T14:24:53.302Z","2026-07-11T14:25:51.658Z","","","","",""
"FARMS","AZjbMjX3fZbL884sZ3i9SqZCrwMekG8mp13LVQ6Jpump","61","0.05","","","","","","","0","0","-0.1","910","0.05","0","1","1","0","6725.19","3","217.58","217.58","0.553","0.553","206","","0","0","1","0","","","","","","","0.000004643","0.000006725","","","","","","2026-07-11T14:25:04.408Z","2026-07-11T14:26:03.654Z","","","","",""
"ROBIN","Em6Zpxs46uED2HHe2oQULbpdgrHv81rgneuvRVXfpump","82","1.97530864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002331","","","","","","","2026-07-11T14:25:22.442Z","","","","","",""
"Jotchua","52UNjyGgi8ejCXceBeoLAMHQQyToxgGZNVg4wKHspump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.997e-7","","","","","","2026-07-11T14:26:10.459Z",""
"RUG","3VR9MbzwaTAospAmq9oWAYm3ekb1tWxtkQYgTNqSpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.086e-7","","","","","","2026-07-11T14:27:04.829Z",""
"Bonk","Hij1sS9C5ykJDwu7snPYjpfmMBe17BywK8sAuCiYpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.061e-7","","","","","","2026-07-11T14:27:05.256Z",""
"BRAINFRY","9qpj79SBePcWBZuoLy2LvkJFQ1G1f8hBeYNM1oBXpump","67","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003555","","","","","","","2026-07-11T14:27:40.470Z","","","","","",""
"ZERO","BPrZngDZMWU9sjqbr74XxXqKaYJL5F76HV2N5MUJpump","86","3.333333333","","","","","","","0","0","0","902","3.333333333","0","0","1","0","4129.76","","1446.87","1446.87","0.579","0.579","84.76","","0","0","1","0","","","","","","","0.000004129","0.000004129","","","","","","2026-07-11T14:27:46.445Z","2026-07-11T14:28:51.618Z","","","","",""
"ROTT","DjphowyFr2xrn9DZd7qzHchNdhmYwyWbtcAXEwYSpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.478e-7","","","","","","2026-07-11T14:27:52.464Z",""
"FEPE","5cCBpXxjdSk12TQ3RHMBDAoenXbG9N31F3qDa3Aypump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002193","","","","","","2026-07-11T14:28:28.836Z",""
"sol","GB88Zc5pMu7v8ts73rf8onExhnfooLaVaYtzLd26pump","65","0.059259258","","","","","","","0.2","1009","0","1009","0.059259258","0","0","1","0","4448.56","3","69.59","69.59","0.633","0.633","102","","0","0","1","0","","","","","","","0.000002359","0.000004448","","","","","","2026-07-11T14:28:29.249Z","2026-07-11T14:29:27.642Z","","","","",""
"Verse","BwW21fWGyoEqhDJkjEVZGtRgUHzhgk1eXwygwKjhpump","86","3.333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000222","","","","","","4.633e-7","2026-07-11T14:28:40.434Z","","","","","2026-07-11T14:29:15.812Z",""
"at","HgAFd2RCxhpCdCLhfPgXRGwtaGmpH5WparxjFg7Apump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001091","","","","","","2026-07-11T14:28:58.417Z",""
"ape","APoLUgz92QYrzMMBUcJHDmhRs4UFbcJ7JAhicFFHpump","61","0.060000001","","","","","","","0.1","96","0","1009","0.060000001","0","1","1","0","18525.13","3","1180.38","1180.38","0.597","0.597","741","","0","0","1","0","","","","","","","0.0000139","0.00001852","","","","","","2026-07-11T14:29:28.511Z","2026-07-11T14:30:27.625Z","","","","",""
"BZC","EEn4RFJHcJPMSjtSBJaif4q7WAWy9riFnYZrFCBspump","65","0.059259258","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001811","","","","","","","2026-07-11T14:29:40.464Z","","","","","",""
"NEST","BvLJYt9wrHyPPzVDhtqEgVd8bi5J31JXhu3cFr9zpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.98e-7","","","","","","2026-07-11T14:30:52.407Z",""
"SAYLOR","4v3hn4SxE6bHWBRA6oH4ZSW7QCDHgK25oVpmJt6Tpump","64","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000023","","","","","","","2026-07-11T14:31:04.434Z","","","","","",""
"MOODENG","8tPUWRmLxag18hM9hHGzcj8L6RcvGWZroqJk5xvyoJyn","64","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002488","","","","","","","2026-07-11T14:31:35.264Z","","","","","",""
"RIPMOODENG","FgtytWSzdQVPE7fbdUUp6Ypj793ofJxBRwdvS9EMpump","60","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002192","","","","","","","2026-07-11T14:31:35.656Z","","","","","",""
"MOODENG","GmGeDVuZ2Y8gfi6R52D2fMmMLeVtwGbWs2ckPrbQnUdy","72","11.85185185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003713","","","","","","","2026-07-11T14:31:36.084Z","","","","","",""
"USDUC","5SvNfzBBhPvRkG29Ccw5NpxyS18DRXzpNsuXRGCPpump","86","3.333333333","","","","","","","0","0","0","991","3.333333333","0","0","1","0","3037.1","3","1077.03","1077.03","0.583","0.583","-10.73","","0","0","1","0","","","","","","","0.000003037","0.000003037","","","","","","2026-07-11T14:31:46.471Z","2026-07-11T14:32:45.630Z","","","","",""
"KUN","EZ8Jv55nnfYfh3ckxCuXvTXxLKJFvu13cvVv4MsGpump","65","0.060000001","","","","","","","0","0","0","901","0.060000001","0","0","1","0","4517.57","3","40.92","40.92","0.583","0.583","105","","0","0","1","0","","","","","","","0.000004517","0.000004517","","","","","","2026-07-11T14:32:16.505Z","2026-07-11T14:33:15.612Z","","","","",""
"memecoin","Epk1NjPXuJqeMtX2tUWjv9q1LGUY8DWSLZHmpVXPpump","86","3.333333333","","","","","","","0","0","0","943","3.333333333","0","0","1","0","2932.83","4","521.08","521.08","0.6","0.6","-10.23","","0","0","1","0","","","","","","","0.000002933","0.000002932","","","","","","2026-07-11T14:32:28.848Z","2026-07-11T14:34:33.836Z","","","","",""
"LIFE","7GGC6z4MQ1yGRGXzBJBBLtpxpNYKBTcxw4jyqGqtpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.381e-7","","","","","","2026-07-11T14:32:29.250Z",""
"PYTH","6ehTyz3RrpJX6GW1PqMNZbXsTbyTsDmrrWzTrDhSpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.964e-7","","","","","","2026-07-11T14:33:04.943Z",""
"ROTTA","D6DU9E8B8TjpWMGmPFfCUFCjH7D9zVwiDXvGNwHVpump","64","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002236","","","","","","","2026-07-11T14:33:05.329Z","","","","","",""
"Tube","6j8K1qnUy4ua8o7QN2d2G3eDvFdzuEu2iMbvAxCpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.489e-7","","","","","","2026-07-11T14:33:22.426Z",""
