symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"$MONMAY","7cFg7th96XQ8tJykuaQ1dig7Smkddg3jGxFc5vKTpump","72","0.500000001","","","","","","","0","16","0","916","0.500000001","0","0","1","0","0","4407.13","3","157.88","157.88","0.75","0.75","100","","0","0","1","0","0","","","","","","","0.000004407","0.000004407","","","","","","2026-07-20T08:25:01.831Z","2026-07-20T08:26:01.489Z","","","","",""
"Cat","6LsdKowPH9JBVm5o55eiEXBzqXq5nSVWFmq6i7eBfkBw","67","3.950617282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002202","","","","","","0.000002131","2026-07-20T08:25:07.729Z","","","","","2026-07-20T08:28:55.721Z",""
"f∘g","2CoUaRPJwUeLuwAgpuJnaFvwn6kXEqnj9GxTgne2pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.913e-7","","","","","","2026-07-20T08:25:13.697Z",""
"$MONMAY","EtRsW1tVjpNAUBYWcwKGhy4U78XS6GG7gphUviSkpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.492e-7","","","","","","2026-07-20T08:25:31.755Z",""
"21","HhdsgkNJJTBqoSacZk2AS98spJH2D8ySZZ2wEXASpump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000007586","","","","","","0.000002297","2026-07-20T08:25:49.709Z","","","","","2026-07-20T08:30:19.707Z",""
"bitboy","6M3gLRXoZP7jpRooGjFZ9HWxidzh4jFgz2gYEHbLpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.412e-7","","","","","","2026-07-20T08:25:49.712Z",""
"Calculator","CTk8rc7kSF4o7zMw3RyGAJq2umHCQvL2sMG5avidpump","67","3.950617282","","47.995","","","","","0","0","-49.1","908","3.950617282","0","0","0","0","0","4213.07","3","6213.32","6213.32","0.572","0.572","54.49","","0","0","1","0","1","-48.13671967718965","","","","","","0.000003864","0.000004213","","","0.000002185","","0.000002143","2026-07-20T08:25:49.732Z","2026-07-20T08:26:49.495Z","","","2026-07-20T08:27:37.490Z","2026-07-20T08:30:55.491Z",""
"LUCKYBLOCK","BXaT9X9cVAMB8YCApE7e1MJnhvQjm9HYfzyRXLxtpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.574e-7","","","","","","2026-07-20T08:26:01.705Z",""
"MAYHEM","A28wtjjJ5cu7Pp7sozrqgLp3YDr9sugrgE2n4xwJpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001074","","","","","","2026-07-20T08:26:07.704Z",""
"$MONMAY","8wA6hABwXZZUPFc7pm9eQUGJm3Cv6xusrPV7MnHYpump","65","0.500000001","","","","","","","0","0","0","908","0.500000001","0","2","1","0","0","3728.4","3","133.52","133.52","0.714","0.714","69.4","","0","0","1","0","0","","","","","","","0.000003728","0.000003728","","","","","","2026-07-20T08:26:07.715Z","2026-07-20T08:27:19.500Z","","","","",""
