symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,drag_at_ready,upside_from_ready,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"STOPCANCER","Fi72CHzbyFZojCXQtRiKFyJEB7993ZQPu3SVSXrypump","57","0.059259258","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000274","","","","","","5.735e-7","2026-07-21T17:25:38.010Z","","","","","2026-07-21T17:26:49.978Z",""
"Coco","5aYsAJYH2h2igznKJHenNGbXpjMsdG78kMMnrwDQpump","61","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002293","","","","","","","2026-07-21T17:25:43.962Z","","","","","",""
"AYST","BpLnybVzs6jLuEMpAV1WZWty5CmEJcRW2mj2cQE7pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.352e-8","","","","","","2026-07-21T17:25:44.028Z",""
"BBS","Gt9Z1tZvMJncBwv3ufT49yT5Fk5Lw9Y8PSXQxYutpump","88","27.175843694","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000008211","","","","","","0.00000406","2026-07-21T17:26:07.988Z","","","","","2026-07-21T17:26:56.097Z",""
"summer","Ez241EcYgMwWTmhH4Zpry4j26bdUfp1RMZffRKTmpump","97","15.209876542","","12.061","","","","","0.1","480","-26.2","-23.8","31.4","910","15.209876542","1","4","0","0","0","8968.4","3","17047.36","17047.36","0.67","0.67","81.31","","0","0","1","0","1","-18.521409455842996","","","","","","0.000008384","0.000008968","","","0.000007307","","","2026-07-21T17:26:08.034Z","2026-07-21T17:27:07.822Z","","","2026-07-21T17:27:19.883Z","",""
"GRAM","7feRgMceqLufrYXiJhmLwvsHFnEBgAdk1gA8yhULpump","56","4.938271603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000222","","","","","","","2026-07-21T17:26:14.087Z","","","","","",""
"ALF","23D4TX1sXbPYDTimECwF9RUykzKfETeCt4nYspWvpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.064e-7","","","","","","2026-07-21T17:26:20.055Z",""
"CAP","7ujRP1yEaFu3nQEv2WVot71Xhs9XbuCEQXHZd3XdA6Qv","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002325","","","","","","","2026-07-21T17:26:32.066Z","","","","","",""
"x","Fjd5rDPR3e9aUhKTMzivDRSJjZVjsevB7qz7RSJbpump","72","0.493827159","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001877","","","","","","2.883e-7","2026-07-21T17:27:02.018Z","","","","","2026-07-21T17:27:50.186Z",""
"PEPETHY","DbzkriZW7vNdpncST2YE8goVzpvFj2Vv5PixamqYpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.67e-7","","","","","","2026-07-21T17:27:02.109Z",""
