symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,peaked_after_exit,peak_after_exit_s,drag_at_ready,upside_from_ready,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"Cameuh","GxKh2Mgp9n71X3LCLNfvFKY2tGJLgrKfCmieg2JKpump","70","4.938271603","","","","","","","0.1","112","-0.3","","","0","0.1","912","4.938271603","0","0","0","0","0","2180.63","4","3149.22","3149.22","0.593","0.593","-21.62","","0","0","1","0","0","","","","","","","0.000005292","0.00000218","","","","","","2026-08-04T08:59:37.673Z","2026-08-04T09:01:37.698Z","","","","",""
"nonchalant","FTKGhHZzg567ZW5dXU6zf14NyfpiW6QeChcYmhRzpump","63","3","","210.013","","","","","0","0","0","","","0","0","928","3","0","0","0","0","0","2083.39","3","585.67","585.67","0.556","0.556","-16.05","","0","0","1","0","0","0","","","","","","0.000002083","0.000002083","","","0.000002083","","","2026-08-04T09:00:01.660Z","2026-08-04T09:01:01.468Z","","","2026-08-04T09:04:31.481Z","",""
"STAR","CtspWKeSGwFmUvU3Co6z622z8M3zB9uQ1rw9XuHopump","92","35.140740739","","192.261","","","","","13.9","154","-82.5","","","4.2","9.2","194","35.140740739","0","0","0","0","0","10600.68","3","2802.5","2802.5","1","1","9.62","","0","0","1","0","0","-80.02830188679245","","","","","","0.00001105","0.0000106","","","0.000002117","","0.000002117","2026-08-04T09:01:07.841Z","2026-08-04T09:00:55.458Z","","","2026-08-04T09:04:07.719Z","2026-08-04T09:04:07.718Z",""
"NeegyHouse","9o7v5CW5RTitfJeSphQvafVXad71onwzxPmtpV2Tunfd","67","4","","","","","","","0","0","0","","","0","0","928","4","0","0","0","0","0","2049.55","4","1430.49","1430.49","0.583","0.583","-22.14","","0","0","1","0","0","","","","","","","0.00000205","0.000002049","","","","","","2026-08-04T09:02:01.703Z","2026-08-04T09:04:01.518Z","","","","",""
"Cameuh","B8gi3P3jppAev9R13Lg19j13x6nPHyfBUZZzxCwhpump","66","4.938271603","","","","","","","0","0","0","","","0","0","910","4.938271603","0","1","0","0","0","2158.71","5","985.47","985.47","0.553","0.553","-22.35","","0","0","1","0","0","","","","","","","0.000002207","0.000002158","","","","","","2026-08-04T09:04:19.979Z","2026-08-04T09:07:19.535Z","","","","",""
"EGGE","As6S5pw19MrKNSqrH48uEhwRUXNv6YGyapTMennwpump","57","1.97530864","","","","","","","","","","","","","","","1.97530864","0","0","0","0","0","2069.02","3","2466.95","2466.95","0.568","0.568","-11.13","","0","0","1","0","0","","","","","","","0.000002069","0.000002069","","","","","","2026-08-04T09:05:25.746Z","2026-08-04T09:07:01.744Z","","","","",""
"SOL","hFoQvtNbXo2o3fK9E3oY6facmTmnie7i8DVGczipump","63","0.33005157","","","","","","","0","0","0","","","0","0","912","0.33005157","0","2","1","0","0","2362.5","4","119.8","119.8","0.563","0.563","12.78","","0","0","1","0","0","","","","","","","0.000002364","0.000002362","","","","","","2026-08-04T09:06:13.740Z","2026-08-04T09:09:07.717Z","","","","",""
"Cameuh","GdEiBXQ2RVx8VgT5iPPvaoayhn67N4UMt3iSFUyRpump","64","4.938271603","","","","","","","0","0","-0.7","","","0","0","926","4.938271603","0","2","0","0","0","2167.68","4","931.93","931.93","0.771","0.771","-22.03","","0","0","1","0","0","","","","","","","0.000002144","0.000002167","","","","","","2026-08-04T09:06:13.804Z","2026-08-04T09:08:13.661Z","","","","",""
"LIH","EiguyoDcNVDwXcDbWSW6mBQeENLEkyiDbqrZTjpYpump","62","0.1","","","","","","","0","0","0","","","0","0","930","0.1","0","1","1","0","0","5262.78","3","122.02","122.02","0.667","0.667","155","","0","0","1","0","0","","","","","","","0.000005262","0.000005262","","","","","","2026-08-04T09:06:25.673Z","2026-08-04T09:08:19.699Z","","","","",""
"SOL","7eeQddtoQbqpo5iWfJqbtcCLTUc8QNRgExSvurnepump","64","0.540084387","","","","","","","0","0","0","","","0","0","906","0.540084387","0","3","1","0","0","2441.68","3","109.28","109.28","0.6","0.6","14.95","","0","0","1","0","0","","","","","","","0.000002441","0.000002441","","","","","","2026-08-04T09:06:49.685Z","2026-08-04T09:08:43.662Z","","","","",""
"SOL","6w7xu855AV4hCfywjhjGq6pQroYy6pRz1t587Uumpump","62","0.470073448","","","","","","","0","0","-0.1","","","0","0","904","0.470073448","0","4","1","0","0","2809.57","3","115.26","115.26","0.714","0.714","32.88","","0","0","1","0","0","","","","","","","0.000002809","0.000002809","","","","","","2026-08-04T09:07:07.660Z","2026-08-04T09:08:55.707Z","","","","",""
"SOL","9cVxPKw8BopfieDkNDyjQwgKyZiT53aF95itiLKmpump","63","0.680106265","","","","","","","0","0","0","","","0","0","902","0.680106265","0","5","1","0","0","3302.71","3","220.94","220.94","0.889","0.889","54.07","","0","0","1","0","0","","","","","","","0.00000312","0.000003302","","","","","","2026-08-04T09:07:25.684Z","2026-08-04T09:09:07.712Z","","","","",""
"X-Money","4d2wGH7EMiaKFHKeer1kANM4YddhCDHCFfzGpngDpump","59","0.1","","","","","","","","","","","","","","","0.1","0","2","1","0","0","1673.62","3","164.57","164.57","0.574","0.574","-18.89","","0","0","1","0","0","","","","","","","0.000001673","0.000001673","","","","","","2026-08-04T09:07:31.882Z","2026-08-04T09:09:25.668Z","","","","",""
"Cameuh","9is4bCsMx4nTG9PLbL5qoWJDU49HJc68jQj4RZSfpump","62","4.938271603","","","","","","","0","0","0","","","0","0","918","4.938271603","0","3","0","0","0","2183.78","4","986.34","986.34","0.771","0.771","-21.43","","0","0","1","0","0","","","","","","","0.000002191","0.000002183","","","","","","2026-08-04T09:08:07.724Z","2026-08-04T09:10:31.524Z","","","","",""
"SMURF","7w5TbaQr4hpRUNB3JpKCBxwjRSVH1JR5NCHyqJTDpump","62","0.400062509","","","","","","","0.3","96","0","","","0.2","0.1","916","0.400062509","0","3","1","0","0","3031.29","3","142.08","142.08","0.611","0.611","44.04","","0","0","1","0","0","","","","","","","0.000003031","0.000003031","","","","","","2026-08-04T09:08:25.706Z","2026-08-04T09:10:13.868Z","","","","",""
"CHIBIGUY","BL5z2En7pLZskKMXrwL7XD9t39EN81AmsismUt6apump","85","14.814814813","","","","","","","13","62","-73.2","","","-3.4","17","912","14.814814813","0","0","0","0","0","6805.12","3","1844.61","1844.61","0.889","0.889","48.86","","0","0","1","0","1","","","","","","","0.000005044","0.000006805","","","","","","2026-08-04T09:09:07.681Z","2026-08-04T09:10:37.508Z","","","","",""
"Cameuh","FAT6Fk9v9qWXyNoJzCDNEp2aCmC8iEU3byY6PnTWpump","61","4.938271603","","","","","","","0","0","0","","","0","0","906","4.938271603","0","4","0","0","0","2168.24","3","904.92","904.92","0.815","0.815","-21.96","","0","0","1","0","0","","","","","","","0.000002168","0.000002168","","","","","","2026-08-04T09:09:55.719Z","2026-08-04T09:11:13.520Z","","","","",""
"TMSDK","6jd8tvzR4dCHzyMGhk3Dc3bBfMSzKEkH3FuZhZ6LJpeM","","","","","","","","","0","0","0","","","0","0","930","0","0","1","1","0","0","2050.83","3","2.66","2.66","0.667","0.667","0.05","","0","0","1","0","0","","","","","","","","0.00000205","","","","","","","2026-08-04T09:10:19.562Z","","","","",""
"WCAT","2YCWBoxf6Kg78VWp3EXWYo7bRAvx5nfqo8Ufpqkfpump","","","","","","","","","","","","","","","","","2.000312547","0","0","0","0","0","2332.05","3","147.16","147.16","1","1","0.05","","0","0","1","0","0","","","","","","","","0.000002332","","","","","","","2026-08-04T09:11:43.462Z","","","","",""
"$MOON","B5powuEiqxEi5tpeJ76e1votdACgFHSwJd31V8zGpump","55","0.1","","","","","","","","","","","","","","","0.1","0","5","1","0","0","16030.82","3","698.77","698.77","0.575","0.575","677","","0","0","1","0","0","","","","","","","0.00001603","0.00001603","","","","","","2026-08-04T09:11:49.876Z","2026-08-04T09:13:13.502Z","","","","",""
"Momota","H2HmkMrmkdFGoDuriHCE7gp3St9uv1nqDhkiy52wQCYf","75","7","","","","","","","0","0","-31.7","","","-26.3","0","908","7","0","0","0","0","0","3018.08","3","2513.27","2513.27","0.583","0.583","-3.12","","0","0","1","0","0","","","","","","","0.000002326","0.000003018","","","","","","2026-08-04T09:12:01.715Z","2026-08-04T09:13:01.445Z","","","","",""
"CMC","BokF4fz97i1ndzvWFcYA31gj9YSqdniyatm5Cdhupump","63","3","","","","","","","0","0","-6","","","-1.3","0","906","3","0","0","0","0","0","2178.09","3","801.26","801.26","0.625","0.625","-12.12","","0","0","1","0","0","","","","","","","0.000002178","0.000002178","","","","","","2026-08-04T09:12:01.732Z","2026-08-04T09:13:13.506Z","","","","",""
"#cat","AtjuVqFpvKoFV4X6SSwyoHDoe5TWNS7LzFcw3XBHux7Y","63","4","","","","","","","0","0","0","","","0","0","912","4","0","1","0","0","0","2047.72","3","3568.83","3568.83","0.635","0.635","-22.15","","0","0","1","0","0","","","","","","","0.000002047","0.000002047","","","","","","2026-08-04T09:12:49.699Z","2026-08-04T09:14:07.513Z","","","","",""
"BWC","GnifEJR264ZNcZBVPz1fuc1C55Ft4vuT5G4ApUYipump","57","2","","","","","","","","","","","","","","","2","0","0","0","0","0","2178.32","3","362.99","362.99","0.571","0.571","-6.52","","0","0","1","0","0","","","","","","","0.000002178","0.000002178","","","","","","2026-08-04T09:12:55.759Z","2026-08-04T09:14:13.531Z","","","","",""
"BCAT$","Bb4wwSqitU1VWctPMZJeQCgR3WLvoBf7wT4e2jBgpump","65","0.060009374","","","","","","","385.6","614","-96.9","","","172.6","78.1","674","0.060009374","0","0","1","0","0","5818.75","3","58.3","58.3","0.553","0.553","183","","0","0","1","0","0","","","","","","","0.000005815","0.000005818","","","","","","2026-08-04T09:13:01.688Z","2026-08-04T09:14:25.511Z","","","","",""
"Cameuh","CHRA3yeWgyFrbQV2nb6NHkVsS7Sdrp8etsam9LsApump","59","4.938271603","","","","","","","","","","","","","","","4.938271603","0","6","0","0","0","2168.96","4","909.94","909.94","0.788","0.788","-21.91","","0","0","1","0","0","","","","","","","0.000002176","0.000002168","","","","","","2026-08-04T09:13:31.706Z","2026-08-04T09:15:25.484Z","","","","",""
"ARMY","9Xgcz4TdqidVeLNo9UuMXdEZnfTpG9i3pcLDqvaqpump","66","0.098765431","","","","","","","89.4","241","-0.1","","","79.3","5.7","911","0.098765431","0","0","1","0","0","2977.4","2","25.7","25.7","0.647","0.647","44.45","","0","0","1","0","0","","","","","","","0.000001779","0.000002977","","","","","","2026-08-04T09:14:13.676Z","2026-08-04T09:15:08.090Z","","","","",""
"MM","9ZPS8V9SEoRy84wvRRjPT5ajQRcBDkTUFHdozP16u7LC","","","","18.912","","","","","","","","","","","","","0","0","2","1","0","0","2049.76","3","1.09","1.09","1","1","0","","0","0","1","0","0","-59.346022449975614","","","","","","","0.000002049","","","8.33e-7","","8.33e-7","","2026-08-04T09:14:31.474Z","","","2026-08-04T09:14:50.386Z","2026-08-04T09:14:50.384Z",""
"Cameuh","6WNNGEzKHTZLv2FVfm6VNPawyLCPV5X35X87B45Gpump","58","4.938271603","","","","","","","","","","","","","","","4.938271603","0","7","0","0","0","2188.94","3","900.55","900.55","0.808","0.808","-21.2","","0","0","1","0","0","","","","","","","0.000002175","0.000002188","","","","","","2026-08-04T09:15:20.254Z","2026-08-04T09:16:25.460Z","","","","",""
"Gretel","Ep7UjfCZ3cqBPSsFVYLWLuKD5yKUwzgwVsxDkbeppump","63","3","","","","","","","0","0","-4.7","","","-4.7","0","914","3","0","0","0","0","0","2149.82","3","566.78","566.78","0.571","0.571","-13.25","","0","0","1","0","0","","","","","","","0.000002149","0.000002149","","","","","","2026-08-04T09:15:55.719Z","2026-08-04T09:16:55.450Z","","","","",""
"SOL","C7QLcgXoehLGYW5CwikLUBnFuRDb1Df8hF5R5HeTpump","58","0.37005782","","","","","","","","","","","","","","","0.37005782","0","6","1","0","0","2659.05","3","55.42","55.42","0.833","0.833","26.69","","0","0","1","0","0","","","","","","","0.000002659","0.000002659","","","","","","2026-08-04T09:16:07.703Z","2026-08-04T09:16:31.475Z","","","","",""
"Cameuh","5KuzQ47F53Ugo7w1WD3qzVXdbgPbitKCZ5eMVSjkpump","57","4.938271603","","","","","","","","","","","","","","","4.938271603","0","8","0","0","0","2179.33","3","920.03","920.03","0.727","0.727","-21.52","","0","0","1","0","0","","","","","","","0.00000215","0.000002179","","","","","","2026-08-04T09:16:37.680Z","2026-08-04T09:17:37.445Z","","","","",""
"DOOYET","F7bfEsA3P1yXcoCpsr1stRsxBcBc9xXq8e6REQNHpump","65","0.059259258","","","","","","","0","0","-0.2","","","-0.2","0","912","0.059259258","0","0","1","0","0","2609.06","3","11.77","11.77","0.75","0.75","26.89","","0","0","1","0","0","","","","","","","0.000002609","0.000002609","","","","","","2026-08-04T09:18:07.876Z","2026-08-04T09:19:07.487Z","","","","",""
"SOLANA","BAF78XhHwEfsua5V4H26k4qCtNiPWaaaNAc6RNZCpump","71","5","","","","","","","0","0","-4.8","","","-4.8","0","910","5","0","0","0","0","0","2150.38","3","1364.62","1364.62","0.571","0.571","-22.86","","0","0","1","0","0","","","","","","","0.00000215","0.00000215","","","","","","2026-08-04T09:18:13.764Z","2026-08-04T09:19:19.446Z","","","","",""
"DOOMPAINT","8scjJpzG128E5CMcAdC792pTP9SoFiSNhzUpGA62pump","63","3","","18.21","","","","","0","0","-14.9","","","-14.9","0","906","3","0","0","0","0","0","2403.5","3","992.56","992.56","0.625","0.625","-3.01","","0","0","1","0","0","-14.856429463171041","","","","","","0.000002403","0.000002403","","","0.000002046","","","2026-08-04T09:18:31.750Z","2026-08-04T09:19:43.462Z","","","2026-08-04T09:20:01.672Z","",""
"Cameuh","2pVkR7aoHkvo4RtLK352z8QveiTcjEJ9zbSs3jfopump","56","4.938271603","","","","","","","","","","","","","","","4.938271603","0","9","0","0","0","2171.16","3","931.95","931.95","0.714","0.714","-21.83","","0","0","1","0","0","","","","","","","0.000002164","0.000002171","","","","","","2026-08-04T09:18:43.714Z","2026-08-04T09:19:49.464Z","","","","",""
