symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,peaked_after_exit,peak_after_exit_s,drag_at_ready,upside_from_ready,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,partial_taken,partial_pct,partial_proceeds,partial_estimated,sol_received,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"fug","3NpULaLRR87thSFgk3RYidmTnaL3EQ6dEjBzUKRypump","63","3","","","","","","","0","0","-4.9","","","0","0","906","3","0","0","0","0","0","2247.24","3","1090.18","1090.18","0.556","0.556","-13.24","","0","0","1","0","0","","","","","","","","","","","","0.000002247","0.000002247","","","","","","2026-08-08T15:29:31.981Z","2026-08-08T15:30:31.817Z","","","","",""
"BE4R","ANpibevsC81bw9x4WpsKjGcaqgWqsGVbF6fPn8Hapump","57","1.97530864","","","","","","","","","","","","","","","1.97530864","0","0","0","0","0","2134.95","4","2262.75","2262.75","0.61","0.61","-12.05","","0","0","1","0","0","","","","","","","","","","","","0.000002134","0.000002134","","","","","","2026-08-08T15:33:44.059Z","2026-08-08T15:35:55.967Z","","","","",""
"CHONK","77LYnMqswdbgHgMENuN4nuLzCeQMMF344Mh7KCffpump","69","0.987654319","","","","","","","0","0","0","","","0","0","902","0.987654319","0","3","1","0","0","3054.92","4","284.17","284.17","0.625","0.625","34.06","","0","0","1","0","0","","","","","","","","","","","","0.000003054","0.000003054","","","","","","2026-08-08T15:33:55.964Z","2026-08-08T15:36:25.954Z","","","","",""
"SKOGTROLL","G5dyx7UfnX6TeHqrPVAM7qNMXznAsvjtbsbTCNbRpump","88","19.753086418","","","","","","","51.1","892","0","","","-4.3","57.9","912","19.753086418","0","0","0","0","0","7054.46","4","9308.43","9308.43","0.615","0.615","20.12","","0","0","1","0","0","","","","","","","","","","","","0.000006799","0.000007054","","","","","","2026-08-08T15:34:02.149Z","2026-08-08T15:36:25.958Z","","","","",""
"RUG","54UmgDCRkQhCvJGQksm7Pi7o8qbZM8z4Potwx1c7pump","56","4","","","","","","","","","","","","","","","4","0","5","0","0","0","2136.68","4","2797.86","2797.86","0.578","0.578","-22.11","","0","0","1","0","0","","","","","","","","","","","","0.000002143","0.000002136","","","","","","2026-08-08T15:34:37.926Z","2026-08-08T15:37:25.942Z","","","","",""
"GASOK","DSorL3qhpPZZsW8RpPYGzn6hxfJKv2zykJkAn5u4Eray","60","2.4625","","","","","","","0","0","0","","","0","0","906","2.4625","0","0","0","0","0","1255.76","5","14254.07","14254.07","0.705","0.705","-22.98","","0","0","1","0","0","","","","","","","","","","","","0.00001294","0.000001255","","","","","","2026-08-08T15:34:49.985Z","2026-08-08T15:38:01.811Z","","","","",""
"STAR","GSAcsXjf2wYiw47ETtEuKJq9k77HTNbeGmQVfBU1pump","73","1.000156273","","","","","","","0","0","0","","","0","0","910","1.000156273","0","1","1","0","0","2369.6","4","169.58","169.58","0.75","0.75","3.92","","0","0","1","0","0","","","","","","","","","","","","0.000002369","0.000002369","","","","","","2026-08-08T15:35:14.520Z","2026-08-08T15:36:37.949Z","","","","",""
"$TTT","EzmUXNQftb7Y8qZVpjb9HpqyaXUjNXRbTZcsgqbqpump","71","0.802949828","","","","","","","0","0","-0.2","","","0","0","904","0.802949828","0","1","1","0","0","4316.5","4","149","149","0.625","0.625","2.14","","0","0","1","0","0","","","","","","","","","","","","0.000004326","0.000004316","","","","","","2026-08-08T15:36:02.017Z","2026-08-08T15:38:13.960Z","","","","",""
"CHONK","FZp4JDbW1shfNjSrLgbrRgovPYA6tsUuzkt6TP3ppump","68","0.987654319","","","","","","","0","0","0","","","0","0","902","0.987654319","0","4","1","0","0","3467.74","3","274.58","274.58","0.714","0.714","52.26","","0","0","1","0","0","","","","","","","","","","","","0.000003467","0.000003467","","","","","","2026-08-08T15:36:02.064Z","2026-08-08T15:37:55.823Z","","","","",""
"CHONK","FUtpDwh5iMAWmtKLqrrz2HbvakKf8kEFYRk7A2w2pump","67","0.987654319","","","","","","","0","0","0","","","0","0","906","0.987654319","0","5","1","0","0","2777.52","3","280.83","280.83","0.625","0.625","21.95","","0","0","1","0","0","","","","","","","","","","","","0.000002777","0.000002777","","","","","","2026-08-08T15:37:07.963Z","2026-08-08T15:38:31.961Z","","","","",""
